District,Year,yield
Sambhal_3,2018,4.03
Sambhal_4,2018,4.03
Sambhal_5,2018,4.03
Sambhal_1,2019,4.12
Sambhal_2,2019,4.12
Sambhal_3,2019,4.12
Sambhal_4,2019,4.12
Sambhal_5,2019,4.12
Sambhal_1,2020,4.1
Sambhal_2,2020,4.1
Sambhal_3,2020,4.1
Sambhal_4,2020,4.1
Sambhal_5,2020,4.1
Sambhal_1,2021,4.0
Sambhal_2,2021,4.0
Sambhal_3,2021,4.0
Sambhal_4,2021,4.0
Sambhal_5,2021,4.0
Sanghur_1,2018,5.8
Sanghur_2,2018,5.8
Sanghur_3,2018,5.8
Sanghur_4,2018,5.8
Sanghur_5,2018,5.8
Sanghur_1,2019,5.77
Sanghur_2,2019,5.77
Sanghur_3,2019,5.77
Sanghur_4,2019,5.77
Sanghur_5,2019,5.77
Sanghur_1,2020,5.26
Sanghur_2,2020,5.26
Sanghur_3,2020,5.26
Sanghur_4,2020,5.26
Sanghur_5,2020,5.26
Sanghur_1,2021,4.14
Sanghur_2,2021,4.14
Sanghur_3,2021,4.14
Sanghur_4,2021,4.14
Sanghur_5,2021,4.14
Shamli_1,2018,4.57
Shamli_2,2018,4.57
Shamli_3,2018,4.57
Shamli_4,2018,4.57
Shamli_5,2018,4.57
Shamli_1,2019,4.76
Shamli_2,2019,4.76
Shamli_3,2019,4.76
Shamli_4,2019,4.76
Shamli_5,2019,4.76
Shamli_1,2020,4.81
Shamli_2,2020,4.81
Shamli_3,2020,4.81
Shamli_4,2020,4.81
Shamli_5,2020,4.81
Shamli_1,2021,4.35
Shamli_2,2021,4.35
Shamli_3,2021,4.35
Shamli_4,2021,4.35
Shamli_5,2021,4.35
